"Codi postal","Latitud","Longitud"
46001,39.4732386329039,-0.380104157787788
46002,39.4702227089194,-0.375058305730995
46003,39.4769875142137,-0.375438102491669
46004,39.4682908985799,-0.370501612144476
46005,39.4644992211386,-0.366608598918241
46006,39.4585916767275,-0.371159046653491
46007,39.4612493322887,-0.384226539069351
46008,39.473295461048,-0.388559226653017
46009,39.4851194349398,-0.381567087857622
46010,39.4781059351505,-0.364199869625179
46011,39.4719944825482,-0.328534472389843
46012,39.3446494029412,-0.339894431003776
46013,39.4408121769118,-0.356279067794268
46014,39.4526825301699,-0.412319725080686
46015,39.4877860892527,-0.407236210022865
46016,39.5074007506026,-0.364219236363224
46017,39.4425905621386,-0.395400662775341
46018,39.4679567403675,-0.397813222812611
46019,39.4984916617349,-0.369543490201521
46020,39.4863931392836,-0.35577631464854
46021,39.4731631281021,-0.352390359364995
46022,39.474986461371,-0.340817837663961
46023,39.4605158032225,-0.350625145920417
46024,39.4495841136057,-0.329832650220438
46025,39.5172408727399,-0.382602921862288
46026,39.4365745032618,-0.373714982066452
46035,39.501595178493,-0.42218445872784
46100,39.5082935933062,-0.411285647487135
46110,39.5356667824688,-0.426721538861481
46111,39.535705024326,-0.412989787697614
46112,39.547804793166,-0.416608366876189
46113,39.5483804844727,-0.392653465431607
46114,39.5342784221032,-0.36898996860676
46115,39.5390092471459,-0.381022028604295
46116,39.5722319374546,-0.39899993200379
46117,39.568568324556,-0.483729651535222
46118,39.6846247111352,-0.455368476946569
46120,39.5004289176452,-0.337134610640984
46127,39.5846570624035,-0.4412774962622
46130,39.5744781791396,-0.332304313326841
46131,39.5193670565822,-0.367337890826616
46132,39.51413643898,-0.350269141556972
46133,39.5249375109329,-0.33484876739947
46134,39.5451454250464,-0.3604780394559
46135,39.5439964229284,-0.336237018627826
46140,40.0557745413513,-1.13223129021647
46141,40.1595793244957,-1.30177918237138
46142,40.1090913636276,-1.28199244321587
46143,40.0941928215122,-1.25721604554779
46144,40.1324162561282,-1.26774011190628
46145,40.0544652750538,-1.35493382179501
46146,40.0144113330107,-1.26112560903382
46150,39.7123744075879,-0.570417407917344
46160,39.6904596983857,-0.658974951519652
46162,39.8125027645314,-0.802296905852246
46163,39.724020045381,-0.549335537809422
46164,39.5965208983768,-0.727343214704538
46165,39.6164123527471,-0.771054145970201
46166,39.5817587197925,-0.842485615490346
46167,39.6517889458566,-0.858971879991715
46168,39.6985099205321,-0.865104996736465
46170,39.70743479853,-0.81698054837445
46171,39.7034535357487,-0.743426494180356
46172,39.8038612828034,-0.678712922390989
46173,39.7228225613105,-1.12457866579683
46174,39.6594164227662,-0.671763219895786
46175,39.8128548853161,-0.905475615020178
46176,39.7536964425671,-1.00904312046158
46180,39.5939736049198,-0.616864442818229
46181,39.6156144883973,-0.572144143778424
46182,39.5320050974216,-0.492027052142352
46183,39.5626186390977,-0.526178648891883
46184,39.5619948490901,-0.496265050859805
46185,39.602213148674,-0.542430198686823
46190,39.5288571001534,-0.561488889316259
46191,39.5602082328114,-0.655498331072225
46192,39.3632481930464,-0.584244959286698
46193,39.33266717097,-0.65234190293241
46194,39.3135117140022,-0.622514099452438
46195,39.295203344515,-0.592370675530314
46196,39.2553611824188,-0.608456035645348
46197,39.2825717810947,-0.523108513631706
46198,39.2111132465576,-0.793065735883733
46200,39.4258790012791,-0.412403466573784
46210,39.4339568530299,-0.436232176256471
46220,39.3480575523719,-0.487003570423538
46225,39.3086135683473,-0.439307270592189
46229,39.3536807816518,-0.477304925912601
46230,39.259926777806,-0.463910353865717
46240,39.2346545348458,-0.536197163229992
46250,39.1696134597616,-0.511808591167814
46260,39.118236887859,-0.537331822302367
46266,39.0969118675809,-0.601176722013159
46267,39.0929937725995,-0.560262695770819
46268,39.1396578739227,-0.588928466599343
46269,39.1879378053692,-0.661356561678806
46270,39.0733720511861,-0.520301286861955
46290,39.3810871551714,-0.447158285692966
46291,39.14629385247,-0.53661403354355
46292,39.1538900381215,-0.517948688548476
46293,39.0658657094492,-0.558002968207959
46294,39.0585956052134,-0.601507355388956
46300,39.588216438043,-1.18516512987198
46310,39.4474643807788,-1.39624825253831
46311,39.5244068924944,-1.35042119149456
46312,39.6442446077307,-1.18098271150557
46313,39.6106522138956,-1.28889601453642
46314,39.5782354115016,-1.3681143219618
46315,39.5454823079627,-1.29143398383131
46317,39.5318986972538,-1.4514900459144
46320,39.7457613178317,-1.2102471083331
46321,39.6656962509448,-1.23995551822729
46330,39.6221532357377,-1.40977767388102
46339,39.6583644627551,-1.33044648569999
46340,39.5281410434954,-1.06534911848117
46350,39.5844613464732,-0.959544907672685
46351,39.5926124962241,-1.07386260963719
46352,39.4244612436728,-1.19555232116337
46353,39.4781594048743,-1.23725085661908
46354,39.3719911940681,-1.27475086703096
46355,39.3440343102775,-1.06086173772224
46356,39.3134466939319,-1.14533050854404
46357,39.4114397067261,-1.07941479476296
46360,39.4291045292869,-0.848508294859695
46367,39.3611165933834,-0.891735813450101
46368,39.3478707156197,-0.795993229540657
46369,39.3776117812437,-0.755436635900197
46370,39.4804919369771,-0.597211223113469
46380,39.5086628382738,-0.677820641145154
46388,39.4259544409617,-0.666549302576761
46389,39.3736158829763,-0.686750572653877
46390,39.5108705711487,-1.19668149787316
46391,39.4559691183959,-1.01542646221413
46392,39.4844430677736,-0.924627643095379
46393,39.4921433484177,-0.568115731313851
46394,39.4794352359208,-0.55511624641003
46400,39.1709321385119,-0.267379024153069
46408,39.2036670679061,-0.237780264828375
46409,39.127507491538,-0.248540728249268
46410,39.2107645784934,-0.303495740888481
46417,39.1897240569379,-0.337424274698897
46418,39.1819185979464,-0.319166238071467
46419,39.2624065307649,-0.315057262209808
46420,39.2697494217265,-0.275632278257495
46430,39.2774673839587,-0.374318201052036
46439,39.308480734943,-0.396778341200112
46440,39.2970058270555,-0.41146148046071
46450,39.2848040378789,-0.444851954780419
46460,39.3565904551219,-0.402674764487934
46469,39.3829886367004,-0.414035151579473
46470,39.3963927873011,-0.394523126534127
46500,39.7110407462791,-0.290285447795184
46501,39.6839078185903,-0.311351213009193
46510,39.7224837604569,-0.225690030862863
46511,39.7243360947852,-0.275726449272636
46512,39.727866917344,-0.258227427110735
46513,39.7130921616016,-0.246568493117249
46514,39.7440010148168,-0.265113678276361
46515,39.744692183066,-0.288840999860073
46520,39.6475342421744,-0.2523138354168
46529,39.680764297003,-0.216751290164835
46530,39.6180472027603,-0.306019121523704
46540,39.5989446803324,-0.3204954129246
46550,39.5429925718673,-0.317822874408334
46560,39.5546671815606,-0.315634785347831
46590,39.7144799345812,-0.368794196672852
46591,39.6769292533495,-0.357515032745166
46592,39.6782591432414,-0.381876587440349
46593,39.7857542767725,-0.363931026441039
46594,39.7712446113924,-0.346835023193184
46595,39.7317161690675,-0.383336777832143
46600,39.1397377391168,-0.407033362105323
46610,39.1819882468685,-0.530960306655613
46611,39.1383376446025,-0.494135419816774
46612,39.1590253067441,-0.352534460836527
46613,39.1663333823199,-0.31571286859685
46614,39.1184097460284,-0.299537730929415
46620,39.0276576770917,-1.04803890333598
46621,39.1001045260343,-1.11771829729452
46622,39.111655708022,-0.982386372961329
46623,39.1488816051583,-1.10976311267083
46624,39.196196724542,-1.098753240047
46625,39.2548685691318,-1.08062810241519
46630,38.8257423526423,-0.892734235794232
46635,38.779839104003,-0.785257170896344
46640,38.8644342426767,-0.798006962091038
46650,38.9433670049976,-0.586430512591676
46659,38.993572556126,-0.58583129347338
46660,39.0544242739481,-0.492109877458525
46666,39.0500079525948,-0.437959757020088
46667,39.0129679659165,-0.421993357557081
46668,39.0005953396908,-0.474787523669453
46670,39.0759228478336,-0.498480670065733
46680,39.2136685816211,-0.42924291158645
46687,39.2202616990683,-0.373830499307154
46688,39.1906822278429,-0.372324036269827
46689,39.1850730710071,-0.387511084375918
46690,38.9714526256948,-0.604644202624938
46691,38.8997909041807,-0.688740636760129
46692,38.9412981391017,-0.641308553528108
46701,38.9773689325828,-0.178701298513585
46702,38.9626342335408,-0.183442339961652
46703,38.9606526085832,-0.207022292998443
46710,38.9720190307872,-0.150518914415086
46711,38.9548253646095,-0.135511498509403
46712,38.944424542867,-0.127716565128948
46713,38.9627855058134,-0.136120034553812
46714,38.9425727320487,-0.151717916708187
46715,38.9340993138794,-0.153370537171997
46716,38.9340098872275,-0.169314139546311
46717,38.9146340803558,-0.163056610763025
46720,38.8810991728395,-0.22702996765958
46721,38.9147421824642,-0.190294503200678
46722,38.9267994852801,-0.190080448617382
46723,38.9452507370482,-0.179805722467976
46724,38.9449620533088,-0.239547441732944
46725,38.9394300178085,-0.269142093634671
46726,38.9258195319916,-0.286816399104212
46730,38.9973813858939,-0.172531490610067
46740,39.1005639665606,-0.432067576510761
46749,39.1150818544328,-0.475726347917246
46750,39.0441915660105,-0.336653684456628
46758,39.0113386771814,-0.313418661685984
46759,39.0222529189906,-0.367646749370833
46760,39.0803079380418,-0.254719875307205
46770,39.0367391879968,-0.228839580617522
46780,38.8967094753288,-0.104357213681449
46790,39.0131799956556,-0.22581503232147
46791,39.062519698859,-0.302016307090186
46792,39.1027972102969,-0.364306997363272
46800,38.991476821662,-0.587925594010552
46810,38.9807710842657,-0.759083796484477
46811,38.9429338853777,-0.87449218699536
46812,38.8840933405491,-0.606801081253537
46813,38.9905677413604,-0.587381002973432
46820,39.0148998173996,-0.65545549389377
46821,39.0393404058316,-0.699564111724671
46822,39.0502407147518,-0.746021403768553
46823,39.092459707461,-0.716225244458462
46824,39.1044302014815,-0.778438282508947
46825,39.1132199700652,-0.848546515368577
46830,38.9546922253726,-0.445823996639362
46837,38.9692668585985,-0.385238678031378
46838,38.9457788766076,-0.34172662594365
46839,38.9184892583016,-0.471523711971951
46840,38.9052319569076,-0.423732209830131
46841,38.8797366645615,-0.386338519487224
46842,38.8785645855677,-0.342521288211968
46843,38.8491201626871,-0.382260518152892
46844,38.8513351793476,-0.422967700029835
46850,38.9146113374877,-0.544968319338159
46860,38.8483459877649,-0.524579182868197
46868,38.8641556333974,-0.463618893410082
46869,38.8263581091978,-0.532055375397771
46870,38.8126907940065,-0.655237410557059
46880,38.7420860309835,-0.608867051347118
46890,38.8347874877224,-0.558106552112939
46891,38.8673139187612,-0.502471663669614
46892,38.8855748494679,-0.490810501233084
46893,38.9064404555782,-0.50244529773639
46894,38.9860764502988,-0.464364868784943
46900,39.4284869654226,-0.460979115050986
46901,39.4084512879055,-0.53193154857221
46909,39.4334136985615,-0.519659568513282
46910,39.4030340764593,-0.361704592764004
46920,39.4757684667183,-0.420611417999623
46930,39.4722727119393,-0.495783745251835
46940,39.4980882852557,-0.495654867567144
46950,39.4591364762561,-0.430335631132202
46960,39.4598709763223,-0.48843061077593
46970,39.4514990152885,-0.470768444630828
46980,39.5210741574664,-0.449205250682308
46988,39.5133584432293,-0.471275642519319
46989,39.5162893254027,-0.436419715001335
